name,sat,effectPathNum,hub,authority,pagerank,PS,OS,hubDis,autDis,prDis,disData,disCtrl,disAST,disCFG,typeOperator,typeStatement,typeReturn,PAR,LOC,depNestBlock,ReachC,NeceC,InfoEntropy,weight,op
AORB_1,sat,1,0.03336078,0.56324714,0.075251006,0.7222222,0.7195122,0.0,0.0,0.0,5.440099515308106E-7,2.341889934753816E-6,1.2618478111292575E-6,3.0350807144197134E-6,AORB,expression,int,5,46,3,6,2,0.75,Kill,non
AORB_2,sat,1,0.03336078,0.56324714,0.075251006,0.7222222,0.7195122,0.0,0.0,0.0,5.441705430708765E-7,2.3441214282993172E-6,1.262796669010413E-6,3.0379828721560642E-6,AORB,expression,int,5,46,3,6,2,0.75,Kill,non
AORB_3,sat,1,0.03336078,0.56324714,0.075251006,0.7222222,0.7195122,0.0,0.0,0.0,5.44091585785722E-7,2.3430306728133843E-6,1.26232950448113E-6,3.036573671399978E-6,AORB,expression,int,5,46,3,6,2,0.75,Kill,non
AORB_4,sat,1,0.03336078,0.56324714,0.075251006,0.7222222,0.7195122,0.0,0.0,0.0,5.441445214415808E-7,2.343763396583931E-6,1.2626425617279224E-6,3.0375224444600946E-6,AORB,expression,int,5,46,3,6,2,0.75,Kill,non
AORB_5,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.452958148355336E-7,2.355485100302701E-6,1.2700767380025013E-6,3.049143038391655E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_6,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.452922466897547E-7,2.3554185216712042E-6,1.2700573810420224E-6,3.0490314735232005E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_7,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.45293584730544E-7,2.3554434885886266E-6,1.2700646397911797E-6,3.049073309835393E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_8,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.439824146691308E-7,2.34150793632093E-6,1.261688366449576E-6,3.0345744060911173E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_9,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.452958148355336E-7,2.355485100302701E-6,1.2700767380025013E-6,3.049143038391655E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_10,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.452922466897547E-7,2.3554185216712042E-6,1.2700573810420224E-6,3.0490314735232005E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_11,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.45293584730544E-7,2.3554434885886266E-6,1.2700646397911797E-6,3.049073309835393E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_12,sat,5,0.0038250457,0.30924812,0.07353059,0.84615386,0.7195122,0.0,0.0,0.0,5.439824146691308E-7,2.34150793632093E-6,1.261688366449576E-6,3.0345744060911173E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
AORB_13,sat,5,0.0038250457,0.30924812,0.07353059,0.6923077,0.7195122,0.0,0.0,0.0,5.452958148355336E-7,2.355485100302701E-6,1.2700767380025013E-6,3.049143038391655E-6,AORB,expression,int,5,46,3,8,5,0.75,Kill,non
