name,sat,effectPathNum,hub,authority,pagerank,PS,OS,hubDis,autDis,prDis,disData,disCtrl,disAST,disCFG,typeOperator,typeStatement,typeReturn,PAR,LOC,depNestBlock,ReachC,NeceC,InfoEntropy,weight,op
AORB_1,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4411469978780076E-7,6.461417584313622E-7,8.255184256178438E-7,1.145590849960243E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_2,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.441139845821283E-7,6.461367484389413E-7,8.255102477150444E-7,1.145575101557661E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_3,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4411469989882306E-7,6.461417584313622E-7,8.255184256178438E-7,1.1455908500712653E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_4,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4367851181317235E-7,6.422246321413638E-7,8.204481959372956E-7,1.1402774513502578E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_5,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4411469978780076E-7,6.461417584313622E-7,8.255184256178438E-7,1.145590849960243E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_6,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.441139845821283E-7,6.461367484389413E-7,8.255102477150444E-7,1.145575101557661E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_7,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4411469989882306E-7,6.461417584313622E-7,8.255184256178438E-7,1.1455908500712653E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_8,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4367851181317235E-7,6.422246321413638E-7,8.204481959372956E-7,1.1402774513502578E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_9,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4411469978780076E-7,6.461417584313622E-7,8.255184256178438E-7,1.145590849960243E-6,AORB,if,int,3,78,5,5,4,0.75,Alive,non
AORB_10,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.441139845821283E-7,6.461367484389413E-7,8.255102477150444E-7,1.145575101557661E-6,AORB,if,int,3,78,5,5,4,0.75,Kill,non
AORB_11,sat,8198,3.422115E-15,3.3338033E-4,0.037056513,0.44927537,0.45398772,0.0,0.0,0.0,2.4411469989882306E-7,6.461417584313622E-7,8.255184256178438E-7,1.1455908500712653E-6,AORB,if,int,3,78,5,5,4,0.75,Kill,non
