name,sat,effectPathNum,hub,authority,pagerank,PS,OS,hubDis,autDis,prDis,disData,disCtrl,disAST,disCFG,typeOperator,typeStatement,typeReturn,PAR,LOC,depNestBlock,ReachC,NeceC,InfoEntropy,weight,op
AORB_1,sat,34,2.9401322E-6,0.38650066,0.4449143,0.6086956,0.5423729,0.0,0.0,0.0,1.2030256093531477E-6,6.291662603463699E-6,3.8083994249316078E-6,7.969365758198066E-6,AORB,if,java.util.List<Integer>,1,25,3,4,4,0.75,Kill,non
AORB_2,sat,34,2.9401322E-6,0.38650066,0.4449143,0.6086956,0.5423729,0.0,0.0,0.0,1.2029792976209208E-6,6.290395994423825E-6,3.8079353245068503E-6,7.96733363961355E-6,AORB,if,java.util.List<Integer>,1,25,3,4,4,0.75,Kill,non
AORB_3,sat,34,2.9401322E-6,0.38650066,0.4449143,0.6086956,0.5423729,0.0,0.0,0.0,1.2030140313923354E-6,6.291345935216519E-6,3.808283396189438E-6,7.96885769616118E-6,AORB,if,java.util.List<Integer>,1,25,3,4,4,0.75,Kill,non
AORB_4,sat,34,2.9401322E-6,0.38650066,0.4449143,0.6086956,0.5423729,0.0,0.0,0.0,1.200062048511974E-6,6.25336502846352E-6,3.7840144418987975E-6,7.930486468854525E-6,AORB,if,java.util.List<Integer>,1,25,3,4,4,0.75,Kill,non
AORB_5,sat,2,0.03683657,1.0,0.33445254,0.53846157,0.5423729,0.0,0.0,0.0,1.2029995581919195E-6,6.290950010257035E-6,3.8081383406662894E-6,7.968222436316452E-6,AORB,for,java.util.List<Integer>,1,25,3,4,4,0.75,Alive,equ
AORB_6,sat,2,0.03683657,1.0,0.33445254,0.53846157,0.5423729,0.0,0.0,0.0,1.2030140311702908E-6,6.291345903242096E-6,3.808283389195033E-6,7.968857631435178E-6,AORB,for,java.util.List<Integer>,1,25,3,4,4,0.75,Kill,non
AORB_7,sat,2,0.03683657,1.0,0.33445254,0.53846157,0.5423729,0.0,0.0,0.0,1.203022714779678E-6,6.291583430462211E-6,3.808370416469309E-6,7.969238730587413E-6,AORB,for,java.util.List<Integer>,1,25,3,4,4,0.75,Alive,equ
AORB_8,sat,2,0.03683657,1.0,0.33445254,0.53846157,0.5423729,0.0,0.0,0.0,1.200591633998549E-6,6.263095520875339E-6,3.7887977584194488E-6,7.942671384264521E-6,AORB,for,java.util.List<Integer>,1,25,3,4,4,0.75,Alive,equ
AORB_9,sat,2,0.053129114,0.40866405,0.4931267,0.7826087,0.5423729,0.0,0.0,0.0,1.2030256093531477E-6,6.291662603463699E-6,3.8083994249316078E-6,7.969365758198066E-6,AORB,if,java.util.List<Integer>,1,25,3,4,3,0.75,Kill,non
AORB_10,sat,2,0.053129114,0.40866405,0.4931267,0.7826087,0.5423729,0.0,0.0,0.0,1.2029792976209208E-6,6.290395994423825E-6,3.8079353245068503E-6,7.96733363961355E-6,AORB,if,java.util.List<Integer>,1,25,3,4,3,0.75,Kill,non
