name,sat,effectPathNum,hub,authority,pagerank,PS,OS,hubDis,autDis,prDis,disData,disCtrl,disAST,disCFG,typeOperator,typeStatement,typeReturn,PAR,LOC,depNestBlock,ReachC,NeceC,InfoEntropy,weight,op
AORB_1,sat,5,0.11859765,0.34848025,0.095316745,0.9166667,0.8811881,0.0,0.0,0.0,3.540537999446869E-7,2.5979656885777302E-6,1.047460956971058E-6,2.901413787337326E-6,AORB,expression,double[],2,24,5,0,2,0.0,Kill,non
AORB_2,sat,5,0.11859765,0.34848025,0.095316745,0.9166667,0.8811881,0.0,0.0,0.0,3.540667756762872E-7,2.5986647885778424E-6,1.0475745495508448E-6,2.9022858160088205E-6,AORB,expression,double[],2,24,5,0,2,0.0,Kill,non
AORB_3,sat,5,0.11859765,0.34848025,0.095316745,0.9166667,0.8811881,0.0,0.0,0.0,3.540537999446869E-7,2.5979656885777302E-6,1.047460956971058E-6,2.901413787337326E-6,AORB,expression,double[],2,24,5,0,2,0.0,Kill,non
AORB_4,sat,5,0.11859765,0.34848025,0.095316745,0.9166667,0.8811881,0.0,0.0,0.0,3.533251705656326E-7,2.591993487399691E-6,1.042545308305165E-6,2.8957541815533006E-6,AORB,expression,double[],2,24,5,0,2,0.0,Kill,non
AORS_1,sat,16,0.37450624,0.36364782,0.18000506,0.962963,0.93430656,0.0,0.0,0.0,1.4131913581572064E-6,1.0365536496581562E-5,4.169340567239388E-6,1.1580311486292238E-5,AORS,for,double[],2,24,5,2,3,0.0,Kill,non
AORS_2,sat,1,0.05627709,0.6442217,0.2564164,0.8181818,0.93430656,0.0,0.0,0.0,1.4131913581572064E-6,1.0365536496581562E-5,4.169340567239388E-6,1.1580311486292238E-5,AORS,expression,double[],2,24,5,2,2,0.0,Kill,non
AORS_3,sat,1,0.05627709,0.6442217,0.2564164,0.8181818,0.93430656,0.0,0.0,0.0,4.166361482482728E-6,1.0365536496581562E-5,4.169340567239388E-6,1.1580311486292238E-5,AORS,expression,double[],2,24,5,2,2,0.0,Kill,non
AORS_4,sat,1,0.05627709,0.6442217,0.2564164,0.8181818,0.93430656,0.0,0.0,0.0,2.4692155653482928E-6,0.0,1.1102230246251565E-16,0.0,AORS,expression,double[],2,24,5,2,2,0.0,Kill,non
AORS_5,sat,1,0.05627709,0.66497403,0.24457867,0.375,0.93430656,0.0,0.0,0.0,1.4131913581572064E-6,1.0365536496581562E-5,4.169340567239388E-6,1.1580311486292238E-5,AORS,expression,double[],2,24,5,3,2,0.0,Alive,equ
AORS_6,sat,1,0.05627709,0.66497403,0.24457867,0.375,0.93430656,0.0,0.0,0.0,3.80625262041967E-6,1.0365536496581562E-5,4.169340567239388E-6,1.1580311486292238E-5,AORS,expression,double[],2,24,5,3,2,0.0,Alive,non
