name,sat,effectPathNum,hub,authority,pagerank,PS,OS,hubDis,autDis,prDis,disData,disCtrl,disAST,disCFG,typeOperator,typeStatement,typeReturn,PAR,LOC,depNestBlock,ReachC,NeceC,InfoEntropy,weight,op
AORB_1,sat,5,0.10619455,0.6438784,0.07829474,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,2,3,0.75,Kill,non
AORB_2,sat,5,0.10619455,0.6438784,0.07829474,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,2,3,0.75,Kill,non
AORB_3,sat,5,0.10619455,0.6438784,0.07829474,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,2,3,0.75,Kill,non
AORB_4,sat,5,0.10619455,0.6438784,0.07829474,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,2,3,0.75,Kill,non
AORB_5,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,3,3,0.75,Kill,non
AORB_6,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,3,3,0.75,Kill,non
AORB_7,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,3,3,0.5,Kill,non
AORB_8,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,3,3,0.5,Kill,non
AORB_9,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,1.8219819166720441E-6,1.1393939320925028E-5,4.403857484791551E-6,1.2819362388838407E-5,AORB,expression,double,1,36,6,3,3,0.75,Kill,non
AORB_10,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,1.8234920091675377E-6,1.1410098923581025E-5,4.405332426848929E-6,1.2839827977173535E-5,AORB,expression,double,1,36,6,3,3,0.75,Kill,non
AORB_11,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,1.8240031843808069E-6,1.141400927739955E-5,4.405565330323213E-6,1.2844780430287805E-5,AORB,expression,double,1,36,6,3,3,0.75,Kill,non
AORB_12,sat,4,0.10619455,0.68167204,0.111496285,1.0,0.8603774,0.0,0.0,0.0,9.118826646004052E-7,5.692659502121167E-6,2.1912629483145096E-6,6.405522000485497E-6,AORB,expression,double,1,36,6,3,3,0.75,Kill,non
AORB_13,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_14,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_15,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_16,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_17,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_18,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_19,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_20,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,4,3,0.5,Kill,non
AORB_21,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,1.8219819166720441E-6,1.1393939320925028E-5,4.403857484791551E-6,1.2819362388838407E-5,AORB,expression,double,1,36,6,4,3,0.75,Kill,non
AORB_22,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,1.8234920091675377E-6,1.1410098923581025E-5,4.405332426848929E-6,1.2839827977173535E-5,AORB,expression,double,1,36,6,4,3,0.75,Kill,non
AORB_23,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,1.8240031843808069E-6,1.141400927739955E-5,4.405565330323213E-6,1.2844780430287805E-5,AORB,expression,double,1,36,6,4,3,0.75,Kill,non
AORB_24,sat,3,0.10619455,0.68167204,0.12647538,1.0,0.8603774,0.0,0.0,0.0,9.118826646004052E-7,5.692659502121167E-6,2.1912629483145096E-6,6.405522000485497E-6,AORB,expression,double,1,36,6,4,3,0.75,Kill,non
AORB_25,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_26,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_27,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_28,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_29,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_30,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_31,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_32,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_33,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,1.8219819166720441E-6,1.1393939320925028E-5,4.403857484791551E-6,1.2819362388838407E-5,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_34,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,1.8234920091675377E-6,1.1410098923581025E-5,4.405332426848929E-6,1.2839827977173535E-5,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_35,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,1.8240031843808069E-6,1.141400927739955E-5,4.405565330323213E-6,1.2844780430287805E-5,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_36,sat,2,0.10624203,0.68167204,0.13201733,1.0,0.8603774,0.0,0.0,0.0,9.118826646004052E-7,5.692659502121167E-6,2.1912629483145096E-6,6.405522000485497E-6,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_37,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_38,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_39,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_40,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_41,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_42,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_43,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_44,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,5,3,0.5,Kill,non
AORB_45,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,1.8219819166720441E-6,1.1393939320925028E-5,4.403857484791551E-6,1.2819362388838407E-5,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_46,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,1.8234920091675377E-6,1.1410098923581025E-5,4.405332426848929E-6,1.2839827977173535E-5,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_47,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,1.8240031843808069E-6,1.141400927739955E-5,4.405565330323213E-6,1.2844780430287805E-5,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_48,sat,1,0.05314359,0.68169254,0.13390909,1.0,0.8603774,0.0,0.0,0.0,9.118826646004052E-7,5.692659502121167E-6,2.1912629483145096E-6,6.405522000485497E-6,AORB,expression,double,1,36,6,5,3,0.75,Kill,non
AORB_49,sat,1,0.032481696,0.38465416,0.108697884,0.41666666,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,1,2,0.75,Alive,non
AORB_50,sat,1,0.032481696,0.38465416,0.108697884,0.41666666,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,1,2,0.75,Alive,non
AORB_51,sat,1,0.032481696,0.38465416,0.108697884,0.41666666,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,1,2,0.75,Kill,non
AORB_52,sat,1,0.032481696,0.38465416,0.108697884,0.41666666,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,1,2,0.75,Kill,non
AORB_53,sat,5,0.10619455,0.67241096,0.112871096,0.875,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,if,double,1,36,6,2,3,0.75,Kill,non
AORB_54,sat,5,0.10619455,0.67241096,0.112871096,0.875,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,if,double,1,36,6,2,3,0.75,Kill,non
AORB_55,sat,5,0.10619455,0.67241096,0.112871096,0.875,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,if,double,1,36,6,2,3,0.75,Alive,non
AORB_56,sat,5,0.10619455,0.67241096,0.112871096,0.875,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,if,double,1,36,6,2,3,0.75,Kill,non
AORB_57,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,9.127841589240404E-7,5.705675267253518E-6,2.196248623631547E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_58,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,9.119418434844206E-7,5.6936746641866876E-6,2.191588465039196E-6,6.406766148492338E-6,AORB,expression,double,1,36,6,2,2,0.75,Alive,non
AORB_59,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,9.11570812833773E-7,5.687020997680037E-6,2.1895203735633473E-6,6.398586367528658E-6,AORB,expression,double,1,36,6,2,2,0.75,Alive,non
AORB_60,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,9.121160753355895E-7,5.696560955503749E-6,2.192556943669821E-6,6.410298015846472E-6,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_61,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_62,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_63,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,1.8227614781984869E-6,1.140305004720954E-5,4.404750048037087E-6,1.2830898966087467E-5,AORB,expression,double,1,36,6,2,2,0.5,Kill,non
AORB_64,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,1.827324281111764E-6,1.141870240706222E-5,4.400037169394189E-6,1.285066244738342E-5,AORB,expression,double,1,36,6,2,2,0.5,Kill,non
AORB_65,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,1.8219819166720441E-6,1.1393939320925028E-5,4.403857484791551E-6,1.2819362388838407E-5,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_66,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,1.8234920091675377E-6,1.1410098923581025E-5,4.405332426848929E-6,1.2839827977173535E-5,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_67,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,1.8240031843808069E-6,1.141400927739955E-5,4.405565330323213E-6,1.2844780430287805E-5,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_68,sat,1,0.032481696,0.71946573,0.16019689,0.73333335,0.8603774,0.0,0.0,0.0,9.118826646004052E-7,5.692659502121167E-6,2.1912629483145096E-6,6.405522000485497E-6,AORB,expression,double,1,36,6,2,2,0.75,Kill,non
AORB_69,sat,4,0.10619455,0.68167204,0.12699534,0.9166667,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,if,double,1,36,6,3,3,0.75,Kill,non
AORB_70,sat,4,0.10619455,0.68167204,0.12699534,0.9166667,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,if,double,1,36,6,3,3,0.75,Kill,non
AORB_71,sat,4,0.10619455,0.68167204,0.12699534,0.9166667,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,if,double,1,36,6,3,3,0.75,Kill,non
AORB_72,sat,4,0.10619455,0.68167204,0.12699534,0.9166667,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,if,double,1,36,6,3,3,0.75,Kill,non
AORB_73,sat,1,0.032481696,0.71946573,0.180331,0.75,0.8603774,0.0,0.0,0.0,9.139660777091052E-7,5.706148040740544E-6,2.2023350018107735E-6,6.421305144166389E-6,AORB,expression,double,1,36,6,3,2,0.75,Kill,non
AORB_74,sat,1,0.032481696,0.71946573,0.180331,0.75,0.8603774,0.0,0.0,0.0,9.138808541031551E-7,5.702822171382849E-6,2.2018400015477724E-6,6.417092610178088E-6,AORB,expression,double,1,36,6,3,2,0.75,Kill,non
AORB_75,sat,1,0.032481696,0.71946573,0.180331,0.75,0.8603774,0.0,0.0,0.0,9.139974095351278E-7,5.707370690055669E-6,2.202516981908431E-6,6.422853731868905E-6,AORB,expression,double,1,36,6,3,2,0.5,Kill,non
AORB_76,sat,1,0.032481696,0.71946573,0.180331,0.75,0.8603774,0.0,0.0,0.0,9.125939521847926E-7,5.703460577599628E-6,2.195203886223851E-6,6.4186651353992374E-6,AORB,expression,double,1,36,6,3,2,0.5,Kill,non
AORB_77,sat,1,0.032481696,0.71946573,0.180331,0.75,0.8603774,0.0,0.0,0.0,1.8270103000483928E-6,1.141739864163327E-5,4.4017433579179865E-6,1.2848680964072656E-5,AORB,expression,double,1,36,6,3,2,0.75,Kill,non
AORB_78,sat,1,0.032481696,0.71946573,0.180331,0.75,0.8603774,0.0,0.0,0.0,1.8275850468540966E-6,1.1417920002809723E-5,4.398015500006736E-6,1.2850001808728528E-5,AORB,expression,double,1,36,6,3,2,0.75,Alive,non
AORB_79,sat,1,0.032481696,0.71946573,0.180331,0.75,0.8603774,0.0,0.0,0.0,1.827745446214557E-6,1.1415963805938567E-5,4.396297070052846E-6,1.2847771937996022E-5,AORB,expression,double,1,36,6,3,2,0.75,Alive,non
